start	end	text
0	16760	When I was first learning to meditate, the instruction was to simply pay attention to
16760	20920	my breath and with my mind wandered to bring it back.
20920	27360	Sounded simple enough, yet I'd sit on these silent retreats, sweating through t-shirts
27360	29280	in the middle of winter.
29280	32760	I take naps every chance I got because it was really hard work.
32760	35480	Actually, it was exhausting.
35480	40440	The instruction was simple enough, but I was missing something really important.
40440	43240	So why is it so hard to pay attention?
43240	47800	Well studies show that even when we're really trying to pay attention to something, like
47800	53360	maybe this talk, at some point about half of us will drift off into a daydream or have
53360	56480	this urge to check our Twitter feed.
56480	59160	So what's going on here?
59160	63360	It turns out that we're fighting one of the most evolutionarily conserved learning processes
63360	68160	currently known in science, one that's conserved back to the most basic nervous systems known
68160	69960	to man.
69960	74000	This reward-based learning process is called positive and negative reinforcement and basically
74000	76320	goes like this.
76320	80720	We see some food that looks good, our brain says, calories, survival.
80720	85480	We eat the food, we taste it, it tastes good, and especially with sugar, our bodies send
85480	91440	a signal to our brain that says, remember what you're eating and where you found it.
91440	96720	We lay down this context-dependent memory and learn to repeat the process next time.
96720	101240	See food, eat food, feel good, repeat.
101240	103840	Trigger, behavior, reward.
103840	106080	Simple right?
106080	110520	Well after a while our creative brain say, you know what, you can use this for more than
110520	116080	just remembering where food is, you know next time you feel bad, why don't you try eating
116080	119840	something good so you'll feel better?
119840	124880	We thank our brains for the great idea, try this, and quickly learn that if we eat chocolate
124880	128920	or ice cream when we're mad or sad we feel better.
128920	135000	Same process, just a different trigger, instead of this hunger signal coming from our stomach,
135000	139320	this emotional signal, feeling sad triggers others to eat.
139320	145240	Maybe in our teenage years we were a nerd at school and we see those rebel kids outside
145240	149920	smoking we think, hey I want to be cool so we start smoking.
149920	153760	The Marlboro man wasn't a dork and that was no accident.
153760	160800	See cool, smoke to be cool, feel good, repeat, trigger, behavior, reward.
160800	166040	And each time we do this we learn to repeat the process and it becomes a habit.
166040	171640	So later feeling stressed out triggers that urge to smoke a cigarette or to eat something
171640	173400	sweet.
173400	178640	Now with these same brain processes we've gone from learning to survive to literally
178640	183800	killing ourselves with these habits, obesity and smoking among the leading preventable
183800	187600	causes of morbidity and mortality in the world.
187600	193560	So back to my breath, what if instead of fighting our brains or trying to force ourselves
193560	198840	to pay attention we instead tapped into this natural reward-based learning process but
198840	200720	added a twist.
200720	204800	What if instead we just got really curious about what was happening in our momentary experience.
204800	206800	I'll give you an example.
206800	211320	In my lab we studied whether mindfulness training could help people quit smoking.
211320	215920	Now just like trying to force myself to pay attention on my breath they could try to
215920	221200	force themselves to quit smoking and the majority of them had tried this before and failed
221200	224080	on average six times.
224080	228120	Now with mindfulness training we dropped a bit about forcing and instead focused on being
228120	229120	curious.
229120	233000	In fact, we even told them to smoke.
233000	234000	What?
234000	238640	We said go ahead and smoke just be really curious about what is like when you do and what
238640	239640	did they notice.
239640	242920	Well here's an example from one of our smokers.
242920	249800	She said mindful smoking smells like stinky cheese and tastes like chemicals, yuck.
249800	255840	Now she knew cognitively that smoking was bad for her, that's why she joined our program.
255840	262040	What she discovered just by being curiously aware when she smoked was that smoking tastes
262040	266440	like shit.
266440	272480	Now she moved from knowledge to wisdom, she moved from knowing in her head that smoking
272480	278440	was bad for her to knowing it in her bones and the spell of smoking was broken.
278440	283160	She started to become disenchanted with her behavior.
283160	288800	Now the prefrontal cortex, that youngest part of our brain from an evolutionary perspective,
288800	294360	it understands on an intellectual level that we shouldn't smoke and it tries its hardest
294360	299120	to help us change our behavior, to help us stop smoking, to help us stop eating that
